Order,Date,Week,Start time,Runtime,Runtime min,Plot ID,Fertilized,Block,Fish code,Fish spp,Acropora bites,Porites Bites
145,03/27/2023,2,1109,1:23:23,83.38333333,6N,Y,6,TOTAL,TOTAL,0,0
146,04/11/2023,4,1105,1:22:34,82.56666667,7C,N,7,CTST,Ctenochaetus striatus,0,0
147,04/11/2023,4,1105,1:22:34,82.56666667,7C,N,7,SCPS,Scarus psittacus,0,0
148,04/11/2023,4,1105,1:22:34,82.56666667,7C,N,7,ACTR,Acanthurus triostegus,0,0
149,04/11/2023,4,1105,1:22:34,82.56666667,7C,N,7,RHAC,Rhinecanthus aculeatus,0,0
150,04/11/2023,4,1105,1:22:34,82.56666667,7C,N,7,TOTAL,TOTAL,0,0
151,03/14/2023,0,1100,1:29:08,89.13333333,7C,N,7,ACBL,Acanthurus blochii,0,0
152,03/14/2023,0,1100,1:29:08,89.13333333,7C,N,7,TOTAL,TOTAL,0,0
153,03/28/2023,2,1111,1:26:40,86.66666667,7C,N,7,ACTR,Acanthurus triostegus,0,2
154,03/28/2023,2,1111,1:26:40,86.66666667,7C,N,7,CTST,Ctenochaetus striatus,0,0
155,03/28/2023,2,1111,1:26:40,86.66666667,7C,N,7,ACBL,Acanthurus blochii,0,0
156,03/28/2023,2,1111,1:26:40,86.66666667,7C,N,7,TOTAL,TOTAL,0,2
157,04/11/2023,4,1106,1:28:40,88.66666667,7N,Y,7,CTST,Ctenochaetus striatus,0,0
158,04/11/2023,4,1106,1:28:40,88.66666667,7N,Y,7,ACTR,Acanthurus triostegus,0,0
159,04/11/2023,4,1106,1:28:40,88.66666667,7N,Y,7,ACNI,Acanthurus nigrofuscus,0,0
160,04/11/2023,4,1106,1:28:40,88.66666667,7N,Y,7,ACTR,Acanthurus triostegus,0,0
161,04/11/2023,4,1106,1:28:40,88.66666667,7N,Y,7,TOTAL,TOTAL,0,0
162,03/14/2023,0,1101,1:29:12,89.2,7N,Y,7,CHEP,Chaetodon ephippium,0,0
163,03/14/2023,0,1101,1:29:12,89.2,7N,Y,7,CTST,Ctenochaetus striatus,0,0
164,03/14/2023,0,1101,1:29:12,89.2,7N,Y,7,CHSP,Chlorurus spilurus,0,0
165,03/14/2023,0,1101,1:29:12,89.2,7N,Y,7,ACTR,Acanthurus triostegus,0,0
166,03/14/2023,0,1101,1:29:12,89.2,7N,Y,7,TOTAL,TOTAL,0,0
167,03/28/2023,2,1112,1:27:50,87.83333333,7N,Y,7,CTST,Ctenochaetus striatus,0,0
168,03/28/2023,2,1112,1:27:50,87.83333333,7N,Y,7,ACTR,Acanthurus triostegus,0,0
169,03/28/2023,2,1112,1:27:50,87.83333333,7N,Y,7,CHCI,Chaetodon citrinellus,0,0
170,03/28/2023,2,1112,1:27:50,87.83333333,7N,Y,7,TOTAL,TOTAL,0,0
171,04/11/2023,4,1107,1:22:11,82.18333333,8C,N,8,CTST,Ctenochaetus striatus,0,0
172,04/11/2023,4,1107,1:22:11,82.18333333,8C,N,8,ACTR,Acanthurus triostegus,0,0
173,04/11/2023,4,1107,1:22:11,82.18333333,8C,N,8,ACBL,Acanthurus blochii,0,0
174,04/11/2023,4,1107,1:22:11,82.18333333,8C,N,8,SCPS,Scarus psittacus,0,0
175,04/11/2023,4,1107,1:22:11,82.18333333,8C,N,8,TOTAL,TOTAL,0,0
176,03/14/2023,0,1103,1:27:23,87.38333333,8C,N,8,ACBL,Acanthurus blochii,0,0
177,03/14/2023,0,1103,1:27:23,87.38333333,8C,N,8,CTST,Ctenochaetus striatus,0,0
178,03/14/2023,0,1103,1:27:23,87.38333333,8C,N,8,CHSP,Chlorurus spilurus,0,0
179,03/14/2023,0,1103,1:27:23,87.38333333,8C,N,8,TOTAL,TOTAL,0,0
180,03/28/2023,2,1114,1:20:31,80.51666667,8C,N,8,CTST,Ctenochaetus striatus,0,0
181,03/28/2023,2,1114,1:20:31,80.51666667,8C,N,8,ACBL,Acanthurus blochii,0,0
182,03/28/2023,2,1114,1:20:31,80.51666667,8C,N,8,ACTR,Acanthurus triostegus,0,0
183,03/28/2023,2,1114,1:20:31,80.51666667,8C,N,8,SCPS,Scarus psittacus,0,0
184,03/28/2023,2,1114,1:20:31,80.51666667,8C,N,8,TOTAL,TOTAL,0,0
185,04/11/2023,4,1106,1:25:34,85.56666667,8N,Y,8,CTST,Ctenochaetus striatus,0,0
186,04/11/2023,4,1106,1:25:34,85.56666667,8N,Y,8,ACTR,Acanthurus triostegus,0,0
187,04/11/2023,4,1106,1:25:34,85.56666667,8N,Y,8,ZESC,Zebrasoma scopas,0,0
188,04/11/2023,4,1106,1:25:34,85.56666667,8N,Y,8,SCPS,Scarus psittacus,0,0
189,04/11/2023,4,1106,1:25:34,85.56666667,8N,Y,8,CHSP,Chlorurus spilurus,0,0
190,04/11/2023,4,1106,1:25:34,85.56666667,8N,Y,8,TOTAL,TOTAL,0,0
191,03/14/2023,0,1102,1:24:27,84.45,8N,Y,8,BAUN,Balistapus undulatus,2,0
192,03/14/2023,0,1102,1:24:27,84.45,8N,Y,8,TOTAL,TOTAL,2,0
193,03/28/2023,2,1113,1:25:33,85.55,8N,Y,8,CHSP,Chlorurus spilurus,5,0
194,03/28/2023,2,1113,1:25:33,85.55,8N,Y,8,CTST,Ctenochaetus striatus,2,0
195,03/28/2023,2,1113,1:25:33,85.55,8N,Y,8,SCPS,Scarus psittacus,0,0
196,03/28/2023,2,1113,1:25:33,85.55,8N,Y,8,CHCI,Chaetodon citrinellus,0,0
197,03/28/2023,2,1113,1:25:33,85.55,8N,Y,8,ACTR,Acanthurus triostegus,0,0
198,03/28/2023,2,1113,1:25:33,85.55,8N,Y,8,TOTAL,TOTAL,7,0
199,04/11/2023,4,1109,1:20:41,80.68333333,9C,N,9,ZESC,Zebrasoma scopas,0,0
200,04/11/2023,4,1109,1:20:41,80.68333333,9C,N,9,ACBL,Acanthurus blochii,0,0
201,04/11/2023,4,1109,1:20:41,80.68333333,9C,N,9,CTST,Ctenochaetus striatus,0,0
202,04/11/2023,4,1109,1:20:41,80.68333333,9C,N,9,ACTR,Acanthurus triostegus,0,0
203,04/11/2023,4,1109,1:20:41,80.68333333,9C,N,9,TOTAL,TOTAL,0,0
204,03/14/2023,0,1105,1:21:22,81.36666667,9C,N,9,CHLU,Chaetodon lunulatus,12,4
205,03/14/2023,0,1105,1:21:22,81.36666667,9C,N,9,CTST,Ctenochaetus striatus,0,0
206,03/14/2023,0,1105,1:21:22,81.36666667,9C,N,9,ACBL,Acanthurus blochii,0,0
207,03/14/2023,0,1105,1:21:22,81.36666667,9C,N,9,CHSP,Chlorurus spilurus,0,0
208,03/14/2023,0,1105,1:21:22,81.36666667,9C,N,9,TOTAL,TOTAL,12,4
209,03/28/2023,2,1116,1:21:05,81.08333333,9C,N,9,SCPS,Scarus psittacus,0,0
210,03/28/2023,2,1116,1:21:05,81.08333333,9C,N,9,CTST,Ctenochaetus striatus,0,0
211,03/28/2023,2,1116,1:21:05,81.08333333,9C,N,9,ACTR,Acanthurus triostegus,0,0
212,03/28/2023,2,1116,1:21:05,81.08333333,9C,N,9,ACBL,Acanthurus blochii,0,0
213,03/28/2023,2,1116,1:21:05,81.08333333,9C,N,9,ZESC,Zebrasoma scopas,0,0
214,03/28/2023,2,1116,1:21:05,81.08333333,9C,N,9,TOTAL,TOTAL,0,0
215,04/11/2023,4,1108,1:26:13,86.21666667,9N,Y,9,SCPS,Scarus psittacus,0,0
216,04/11/2023,4,1108,1:26:13,86.21666667,9N,Y,9,CTST,Ctenochaetus striatus,0,0
217,04/11/2023,4,1108,1:26:13,86.21666667,9N,Y,9,ACBL,Acanthurus blochii,0,0
218,04/11/2023,4,1108,1:26:13,86.21666667,9N,Y,9,ACTR,Acanthurus triostegus,0,0
219,04/11/2023,4,1108,1:26:13,86.21666667,9N,Y,9,TOTAL,TOTAL,0,0
220,03/14/2023,0,1104,1:22:05,82.08333333,9N,Y,9,CTST,Ctenochaetus striatus,0,0
221,03/14/2023,0,1104,1:22:05,82.08333333,9N,Y,9,ACBL,Acanthurus blochii,0,0
222,03/14/2023,0,1104,1:22:05,82.08333333,9N,Y,9,TOTAL,TOTAL,0,0
223,03/28/2023,2,1115,1:22:57,82.95,9N,Y,9,ACBL,Acanthurus blochii,0,0
224,03/28/2023,2,1115,1:22:57,82.95,9N,Y,9,ACTR,Acanthurus triostegus,0,0
225,03/28/2023,2,1115,1:22:57,82.95,9N,Y,9,SCPS,Scarus psittacus,0,0
226,03/28/2023,2,1115,1:22:57,82.95,9N,Y,9,CHSP,Chlorurus spilurus,0,0
227,03/28/2023,2,1115,1:22:57,82.95,9N,Y,9,CTST,Ctenochaetus striatus,0,0
228,03/28/2023,2,1115,1:22:57,82.95,9N,Y,9,TOTAL,TOTAL,0,0
229,04/12/2023,4,1108,1:27:39,87.65,10C,N,10,SCPS,Scarus psittacus,0,0
230,04/12/2023,4,1108,1:27:39,87.65,10C,N,10,CTST,Ctenochaetus striatus,0,0
231,04/12/2023,4,1108,1:27:39,87.65,10C,N,10,ACTR,Acanthurus triostegus,0,0
232,04/12/2023,4,1108,1:27:39,87.65,10C,N,10,ZESC,Zebrasoma scopas,0,0
233,04/12/2023,4,1108,1:27:39,87.65,10C,N,10,ACBL,Acanthurus blochii,0,0
234,04/12/2023,4,1108,1:27:39,87.65,10C,N,10,ACNI,Acanthurus nigrofuscus,0,0
235,04/12/2023,4,1108,1:27:39,87.65,10C,N,10,TOTAL,TOTAL,0,0
236,03/16/2023,0,1100,1:25:56,85.93333333,10C,N,10,SCPS,Scarus psittacus,2,0
237,03/16/2023,0,1100,1:25:56,85.93333333,10C,N,10,CHCI,Chaetodon citrinellus,0,0
238,03/16/2023,0,1100,1:25:56,85.93333333,10C,N,10,ACBL,Acanthurus blochii,0,0
239,03/16/2023,0,1100,1:25:56,85.93333333,10C,N,10,ACTR,Acanthurus triostegus,0,0
240,03/16/2023,0,1100,1:25:56,85.93333333,10C,N,10,TOTAL,TOTAL,2,0
241,03/29/2023,2,1107,1:22:56,82.93333333,10C,N,10,ZESC,Zebrasoma scopas,0,0
242,03/29/2023,2,1107,1:22:56,82.93333333,10C,N,10,ACBL,Acanthurus blochii,0,0
243,03/29/2023,2,1107,1:22:56,82.93333333,10C,N,10,CTST,Ctenochaetus striatus,0,0
244,03/29/2023,2,1107,1:22:56,82.93333333,10C,N,10,CHCI,Chaetodon citrinellus,0,0
245,03/29/2023,2,1107,1:22:56,82.93333333,10C,N,10,SCPS,Scarus psittacus,0,0
246,03/29/2023,2,1107,1:22:56,82.93333333,10C,N,10,ACNI,Acanthurus nigrofuscus,0,0
247,03/29/2023,2,1107,1:22:56,82.93333333,10C,N,10,TOTAL,TOTAL,0,0
248,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,CHSP,Chlorurus spilurus,0,10
249,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,CTST,Ctenochaetus striatus,0,0
250,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,ACTR,Acanthurus triostegus,0,0
251,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,ZESC,Zebrasoma scopas,0,0
252,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,SCPS,Scarus psittacus,0,0
253,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,ACNI,Acanthurus nigrofuscus,0,0
254,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,ACBL,Acanthurus blochii,0,0
255,04/12/2023,4,1108,1:18:56,78.93333333,10N,Y,10,TOTAL,TOTAL,0,10
256,03/15/2023,0,1107,1:22:39,82.65,10N,Y,10,SCPS,Scarus psittacus,0,0
257,03/15/2023,0,1107,1:22:39,82.65,10N,Y,10,ACBL,Acanthurus blochii,0,0
258,03/15/2023,0,1107,1:22:39,82.65,10N,Y,10,CTST,Ctenochaetus striatus,0,0
259,03/15/2023,0,1107,1:22:39,82.65,10N,Y,10,TOTAL,TOTAL,0,0
260,03/29/2023,2,1107,1:19:22,79.36666667,10N,Y,10,SCPS,Scarus psittacus,0,0
261,03/29/2023,2,1107,1:19:22,79.36666667,10N,Y,10,ZESC,Zebrasoma scopas,0,0
262,03/29/2023,2,1107,1:19:22,79.36666667,10N,Y,10,CTST,Ctenochaetus striatus,0,0
263,03/29/2023,2,1107,1:19:22,79.36666667,10N,Y,10,ACTR,Acanthurus triostegus,0,0
264,03/29/2023,2,1107,1:19:22,79.36666667,10N,Y,10,ACBL,Acanthurus blochii,0,0
265,03/29/2023,2,1107,1:19:22,79.36666667,10N,Y,10,CHCI,Chaetodon citrinellus,0,0
